Gen,Mean_DCT_Cx,Mean_DCT_Tx
hsa-miR-33b-002085,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-340-002258,3.140215575630941e-5,4.961280703253724e-5
hsa-miR-342-3p-002260,0.003192330883713403,0.004064337137959392
hsa-miR-342-5p-002147,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-345-002186,0.002521314911193613,0.0020472910389270128
hsa-miR-346-000553,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-34a-000426,0.01066542987449374,0.007603593338369728
hsa-miR-34c-000428,9.566917233802536e-5,9.46377017542515e-5
hsa-miR-361-000554,3.2877447477295917e-4,5.303568158266921e-4
hsa-miR-362-001273,3.592237193408931e-4,2.9479468403900477e-4
hsa-miR-362-3p-002117,3.264266265045972e-5,2.6878649927379234e-5
hsa-miR-363-001271,1.2461397821509879e-5,2.2072872208860585e-5
hsa-miR-365-001020,0.007609205629086115,0.009077443942866964
hsa-miR-367-000555,0.011230934652112175,0.02239283715740406
hsa-miR-369-3p-000557,2.819019982982177e-6,1.9982134172223194e-5
hsa-miR-369-5p-001021,1.6917638163602228e-5,1.0542826102486348e-5
hsa-miR-370-002275,0.0038507049956924343,0.005475806169520956
hsa-miR-371-3p-002124,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-372-000560,1.8560595190640827e-5,1.0832372479010782e-5
hsa-miR-373-000561,1.6972661166272151e-6,4.257064107720325e-6
hsa-miR-374-000563,0.004276598849132129,0.004738730261974062
hsa-miR-375-000564,1.9066048710422465e-5,2.482551412397365e-5
hsa-miR-376a-000565,0.004924530743469549,0.009289115388934668
hsa-miR-376b-001102,0.025630988316690737,0.01377008068651761
hsa-miR-376c-002122,0.009443362756140541,0.016819344562925557
hsa-miR-377-000566,2.3267274701698826e-5,1.7453349520660902e-5
hsa-miR-380-3p-000569,2.6828838359529664e-5,4.662935940387531e-5
hsa-miR-381-000571,6.959233428220624e-6,2.182582217536757e-5
hsa-miR-382-000572,0.0066165790333921415,0.011747267535844194
hsa-miR-383-000573,1.27227158746722e-5,1.802695443091411e-5
hsa-miR-384-000574,1.2329450924610629e-05,1.2200853253523625e-6
hsa-miR-409-5p-002331,1.0365333273626265e-4,1.1426163787749979e-4
hsa-miR-410-001274,2.1040345870328855e-4,5.446267569470303e-4
hsa-miR-411-001610,0.003277631177624899,0.005838822052445459
hsa-miR-412-001023,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-422a-002297,7.558658614278899e-5,6.534866575221941e-5
hsa-miR-423-5p-002340,1.8519990480852684e-4,1.7397103314958058e-4
hsa-miR-424-000604,2.99177995129668e-5,2.576479522509292e-5
hsa-miR-425-5p-001516,0.0019875087591026256,0.00134757202342564
hsa-miR-429-001024,2.3566423966539146e-6,7.277356893509728e-6
hsa-miR-431-001979,0.014701457379624522,0.008658886396732368
hsa-miR-433-001028,2.986909171770924e-4,3.811314856167105e-4
hsa-miR-448-001029,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-449-001030,7.853670873844576e-5,2.5693194346808e-5
hsa-miR-449b-001608,1.3595441694761942e-4,5.995954941832274e-5
hsa-miR-450a-002303,2.7463816422594502e-5,2.3967924772899313e-5
hsa-miR-450b-3p-002208,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-450b-5p-002207,1.8334894725442587e-4,1.2200853253523625e-6
hsa-miR-452-002329,2.021992337698772e-4,3.8519861143985345e-4
hsa-miR-453-002318,1.9945593200043997e-6,4.615058524553987e-6
hsa-miR-454-002323,0.0017360764630379372,0.0023702376060287574
hsa-miR-455-001280,4.6208647193782905e-4,4.7055135063531184e-4
hsa-miR-455-3p-002244,0.0016506903215701078,0.0016931466523756108
hsa-miR-483-5p-002338,1.302962482415776e-5,3.209576054566951e-5
hsa-miR-484-001821,0.02506614160741255,0.0204118862842169
hsa-miR-485-3p-001277,5.927665768347394e-4,7.934284631074509e-4
hsa-miR-485-5p-001036,4.4020486966928713e-4,0.0010803448552991126
hsa-miR-486-001278,0.004463964479360305,0.010975482151680156
hsa-miR-486-3p-002093,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-487a-001279,9.699815582834973e-5,1.6012379312421008e-4
hsa-miR-487b-001285,9.18791780147064e-4,0.0015818454311086663
hsa-miR-488-002357,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-489-002358,6.500820826761654e-5,9.86352864156658e-5
hsa-miR-490-001037,5.1491761542369866e-6,3.697278104310339e-5
hsa-miR-491-3p-002360,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-492-001039,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-493-002364,2.849563991535748e-4,4.79005715513852e-4
hsa-miR-494-002365,0.0024398355313417232,0.00367554278743502
hsa-miR-499-3p-002427,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-500-002428,1.5578392964434308e-4,1.4602048962483524e-4
hsa-miR-501-001047,5.923033077820079e-4,4.116823782543779e-4
hsa-miR-501-3p-002435,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-502-001109,2.34616238074295e-5,5.5734026865426074e-5
hsa-miR-502-3p-002083,8.392282581028036e-5,5.3185671535168564e-5
hsa-miR-503-001048,3.6553896711352186e-5,3.720113302577833e-5
hsa-miR-504-002084,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-505-002089,1.2903575533707392e-4,2.3009304963073396e-4
hsa-miR-506-001050,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-507-001051,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-508-001052,1.8047534213549826e-6,3.3210767523985593e-6
hsa-miR-508-5p-002092,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-509-3-5p-002155,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-509-5p-002235,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-510-002241,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-511-001111,3.6252153526178935e-4,0.0010462453839537203
hsa-miR-512-3p-001823,1.8557115302424298e-4,1.0619460766346273e-4
hsa-miR-512-5p-001145,1.1241036770764859e-6,1.2200853253523625e-6
hsa-miR-513-5p-002090,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-515-3p-002369,0.0012509873127237738,0.001252551572704302
hsa-miR-515-5p-001112,1.1133187508937528e-6,1.3003311757493762e-6
hsa-miR-516a-5p-002416,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-516b-001150,5.890076575190547e-6,4.943809880409636e-6
hsa-miR-517a-002402,9.841591057130075e-5,5.349500883465738e-5
hsa-miR-517b-001152,1.1133187508937528e-6,7.2118511054732165e-6
hsa-miR-517c-001153,8.56383739219687e-5,7.988557791891392e-5
hsa-miR-518a-3p-002397,9.986170634623487e-6,6.784015725347885e-6
hsa-miR-518a-5p-002396,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-518b-001156,4.9275279086059504e-5,1.9087878756032158e-4
hsa-miR-518c-002401,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-518d-001159,4.172428808964598e-6,7.355474038947199e-6
hsa-miR-518d-5p-002389,0.06548867643351898,0.026091419970303415
hsa-miR-518e-002395,1.9110010705928228e-5,8.590351222831754e-6
hsa-miR-518f-002388,2.0502001238088396e-5,1.7692803068633568e-5
hsa-miR-519a-002415,5.365735540037769e-5,3.315702169339232e-5
hsa-miR-519c-001163,2.4923272970280792e-6,1.2200853253523625e-6
hsa-miR-519d-002403,3.084809814829629e-5,2.2991619078568493e-5
hsa-miR-519e-002370,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-520a#-001168,4.3003386774239e-6,1.2200853253523625e-6
hsa-miR-520a-001167,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-520b-001116,3.546634531442836e-6,7.3465828027208e-6
hsa-miR-520d-5p-002393,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-520e-001119,1.1133187508937528e-6,9.163317367604479e-5
hsa-miR-520f-001120,1.1133187508937528e-6,3.759437098233136e-6
hsa-miR-520g-001121,5.006405254570305e-5,1.4901858712411264e-5
hsa-miR-521-001122,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-522-002413,1.2987222654684103e-5,1.436337763457887e-5
hsa-miR-523-002386,6.492716097175479e-4,0.0016464193757433083
hsa-miR-524-5p-001982,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-525-001174,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-525-3p-002385,5.665071659624257e-6,1.9633532037472883e-6
hsa-miR-526b-002382,6.5902586795201654e-6,2.244251543192121e-6
hsa-miR-532-001518,0.0027916913324676196,0.0026843883134878978
hsa-miR-532-3p-002355,3.7519859228693817e-4,4.8274171705170416e-4
hsa-miR-539-001286,0.0024691002678630105,0.005793978865816204
hsa-miR-541-002201,1.7169570342170394e-5,3.553418163623205e-5
hsa-miR-542-3p-001284,5.618388462419085e-6,7.738290937167132e-6
hsa-miR-542-5p-002240,3.4551654394625343e-6,3.3263310119289247e-6
hsa-miR-544-002265,1.558006384497485e-6,1.2328626161286361e-6
hsa-miR-545-002267,1.452241709221266e-6,1.9467898348321695e-6
hsa-miR-548a-001538,2.62219171667103e-6,1.2200853253523625e-6
hsa-miR-548a-5p-002412,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-548b-001541,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-548b-5p-002408,1.4155530741531992e-5,1.0382947961467233e-5
hsa-miR-548c-001590,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-548c-5p-002429,3.872954864318127e-6,1.8321627621132881e-6
hsa-miR-548d-001605,2.764661392514613e-5,1.9400464832572314e-6
hsa-miR-548d-5p-002237,1.0822314643020996e-5,2.9533994047007977e-6
hsa-miR-551b-001535,1.5221844472192536e-5,1.752448103888782e-5
hsa-miR-556-3p-002345,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-556-5p-002344,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-561-001528,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-570-002347,3.3242519923124933e-6,1.2200853253523625e-6
hsa-miR-574-3p-002349,0.01986129381404524,0.04589150963525371
hsa-miR-576-3p-002351,5.995882368478079e-5,4.810163612185769e-5
hsa-miR-576-5p-002350,1.860188604948295e-5,1.3220002492994139e-5
hsa-miR-579-002398,7.477901846717207e-5,6.970455878323944e-5
hsa-miR-582-3p-002399,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-582-5p-001983,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-589-002409,2.3307121892740803e-5,2.8149669373025166e-5
hsa-miR-590-5p-001984,0.0014421208665721587,0.0013032978235364347
hsa-miR-597-001551,2.5215712707542314e-5,2.836104396653767e-5
hsa-miR-598-001988,3.73609718126154e-4,6.914940246811125e-4
hsa-miR-615-5p-002353,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-616-002414,5.353315029300192e-5,4.127525502103785e-5
hsa-miR-618-001593,1.2790486849999574e-4,1.0309132688248464e-4
hsa-miR-624-002430,1.494591558477127e-5,1.2200853253523625e-6
hsa-miR-625-002431,1.5826791311670274e-4,5.899023778088412e-5
hsa-miR-627-001560,2.1249260322639005e-6,3.990877754899209e-6
hsa-miR-628-5p-002433,1.447371944639842e-4,4.5055047143237364e-4
hsa-miR-629-002436,2.7624868949230125e-5,2.1447895268930363e-5
hsa-miR-636-002088,7.471521152081052e-5,5.420565657239686e-5
hsa-miR-642-001592,9.1021586587958865e-05,9.760877779386046e-5
hsa-miR-651-001604,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-652-002352,4.925494345494963e-4,3.3733122845953277e-4
hsa-miR-653-002292,1.1133187508937528e-6,1.5088314295089476e-6
